CleansedReadCode,Term,Disease,SnomedCTConceptId
7H11y00,Other specified primary repair of inguinal hernia,Abdominal Hernia,177860007
7H11y11,Halsted repair of inguinal hernia,Abdominal Hernia,275241007
7H11z00,Primary repair of inguinal hernia NOS,Abdominal Hernia,177860007
7H12.00,Repair of recurrent inguinal hernia,Abdominal Hernia,19273005
7H12.11,Herniorrhaphy for recurrent inguinal hernia,Abdominal Hernia,19273005
7H12000,Repair recurr inguinal hernia using insert natural material,Abdominal Hernia,177869008
7H12200,Repair of recurrent inguinal hernia using sutures,Abdominal Hernia,177871008
7H12300,Removal prosthet material fr previous repair inguinal hernia,Abdominal Hernia,177872001
7H12y00,Other specified repair of recurrent inguinal hernia,Abdominal Hernia,19273005
J38..00,Obturator hernia,Abdominal Hernia,60627008
7H13.00,Primary repair of femoral hernia,Abdominal Hernia,264959005
7H13.11,Femoral hernia repair NEC,Abdominal Hernia,238171002
7H13200,Primary repair of femoral hernia using sutures,Abdominal Hernia,264960000
7H13211,Cheadle repair of femoral hernia,Abdominal Hernia,238171002
7H13212,Henry repair of femoral hernia,Abdominal Hernia,238171002
7H13213,Lockwood repair of femoral hernia,Abdominal Hernia,238171002
7H13214,Lotheissen repair of femoral hernia,Abdominal Hernia,275242000
7H13215,McEvedy repair of femoral hernia,Abdominal Hernia,275243005
7H13300,Endoscopic primary repair of femoral hernia,Abdominal Hernia,177879005
7H13y00,Other specified primary repair of femoral hernia,Abdominal Hernia,264959005
7H13z00,Primary repair of femoral hernia NOS,Abdominal Hernia,264959005
7H14.00,Repair of recurrent femoral hernia,Abdominal Hernia,77076000
7H14.11,Herniorrhaphy for recurrent femoral hernia,Abdominal Hernia,77076000
7H14200,Repair of recurrent femoral hernia using sutures,Abdominal Hernia,177884004
7H14y00,Other specified repair of recurrent femoral hernia,Abdominal Hernia,77076000
7H14z00,Repair of recurrent femoral hernia NOS,Abdominal Hernia,77076000
7H15.00,Repair of umbilical hernia,Abdominal Hernia,44946007
7H15300,Remov prosthet material fr previous repair umbilical hernia,Abdominal Hernia,177890000
7H15y00,Other specified repair of umbilical hernia,Abdominal Hernia,44946007
7H15z00,Repair of umbilical hernia NOS,Abdominal Hernia,44946007
7H16.00,Primary repair of incisional hernia,Abdominal Hernia,177893003
7H16111,Primary mesh repair of incisional hernia,Abdominal Hernia,177895005
7H16200,Primary repair of incisional hernia using sutures,Abdominal Hernia,177896006
7H16y00,Other specified primary repair of incisional hernia,Abdominal Hernia,177893003
7H16z00,Primary repair of incisional hernia NOS,Abdominal Hernia,177893003
7H17.00,Repair of recurrent incisional hernia,Abdominal Hernia,177899004
7H17.11,Herniorrhaphy for recurrent incisional hernia,Abdominal Hernia,177899004
7H17200,Repair of recurrent incisional hernia using sutures,Abdominal Hernia,177902001
7H17y00,Other specified repair of recurrent incisional hernia,Abdominal Hernia,177899004
7H17z00,Repair of recurrent incisional hernia NOS,Abdominal Hernia,177899004
7H18.00,Repair of other hernia of abdominal wall,Abdominal Hernia,84744001
7H18.11,Repair of other ventral hernia,Abdominal Hernia,238192002
7H18000,Repair of ventral hernia using insert of natural material,Abdominal Hernia,177907007
7H18200,Repair of ventral hernia using sutures,Abdominal Hernia,719726009
7H18400,"Repair of epigastric hernia, unspecified",Abdominal Hernia,238184006
7H18y00,Other specified repair of other hernia of abdominal wall,Abdominal Hernia,84744001
7H18z00,Repair of other hernia of abdominal wall NOS,Abdominal Hernia,84744001
7H1C.00,Primary repair of umbilical hernia,Abdominal Hernia,428649003
7H1C000,Primary rep umbilical hernia using insert natural material,Abdominal Hernia,429777007
7H1Cy00,Other specified primary repair of umbilical hernia,Abdominal Hernia,428649003
7H1D.00,Repair of recurrent umbilical hernia,Abdominal Hernia,425710008
7H1Dy00,Other specified repair of recurrent umbilical hernia,Abdominal Hernia,425710008
7H1E.00,Repair of recurrent other hernia of abdominal wall,Abdominal Hernia,763821000000105
7H1E200,Repair of recurrent ventral hernia using sutures,Abdominal Hernia,760391000000106
82B2.00,Manual reduction of hernia,Abdominal Hernia,87655002
J3...00,Hernia of abdominal cavity,Abdominal Hernia,52515009
J30..00,Inguinal hernia,Abdominal Hernia,396232000
J30..11,Bubonocele,Abdominal Hernia,396231007
J30..12,Direct inguinal hernia,Abdominal Hernia,73147001
J30..13,Indirect inguinal hernia,Abdominal Hernia,65626001
J30..14,Scrotal hernia,Abdominal Hernia,32665003
J300.00,Inguinal hernia with gangrene,Abdominal Hernia,2303007
J300000,Unilateral inguinal hernia with gangrene,Abdominal Hernia,31518001
J300300,Bilateral recurrent inguinal hernia with gangrene,Abdominal Hernia,53462005
J300z00,Inguinal hernia with gangrene NOS,Abdominal Hernia,2303007
J301.00,Inguinal hernia with obstruction,Abdominal Hernia,196807006
J301000,Unilateral inguinal hernia with obstruction,Abdominal Hernia,55993003
J301100,Unilateral recurrent inguinal hernia with obstruction,Abdominal Hernia,18253009
J301200,Bilateral inguinal hernia with obstruction,Abdominal Hernia,66135001
J302.00,Inguinal hernia - irreducible,Abdominal Hernia,196809009
J302000,Unilateral inguinal hernia - irreducible,Abdominal Hernia,196810004
J302100,Unilateral recurrent inguinal hernia - irreducible,Abdominal Hernia,196811000
J303.00,Simple inguinal hernia,Abdominal Hernia,196815009
J303011,Left inguinal hernia,Abdominal Hernia,236022004
J303012,Right inguinal hernia,Abdominal Hernia,236021006
J303z00,Simple inguinal hernia NOS,Abdominal Hernia,196815009
J304.00,Direct inguinal hernia,Abdominal Hernia,73147001
J305.00,Indirect inguinal hernia,Abdominal Hernia,65626001
J30yz00,Unspecified inguinal hernia NOS,Abdominal Hernia,396232000
J30z.00,Inguinal hernia NOS,Abdominal Hernia,396232000
J31..00,Femoral hernia,Abdominal Hernia,50063009
J310.00,Femoral hernia with gangrene,Abdominal Hernia,45845003
J310000,Unilateral femoral hernia with gangrene,Abdominal Hernia,24609004
M261C00,Tropical acne,Acne,10954006
M261B00,Steroid acne,Acne,201222006
M261A00,Pustular acne,Acne,59172008
M261900,Occupational acne,Acne,201220003
M261600,Cystic acne,Acne,13277001
M261012,Comedo,Acne,238744006
2FG5.00,Acne scar,Acne,247459000
M260.00,Acne varioliformis,Acne,23894009
M260000,Acne frontalis,Acne,23894009
M260z00,Acne varioliformis NOS,Acne,23894009
M260z11,Acne necrotica,Acne,45072005
M261.00,Other acne,Acne,11381005
M261000,Acne vulgaris,Acne,88616000
M261011,Blackhead,Acne,247467008
M261500,Colloid acne,Acne,201218001
M261100,Acne conglobata,Acne,42228007
M261200,Bromine acne,Acne,201215003
M261300,Chlorine acne,Acne,83684005
M261J00,Acne necrotica,Acne,45072005
M261G00,Acne agminata,Acne,238752009
M261F00,Acne fulminans,Acne,4659007
N25..00,"SAPHO syndrome Synov, Acne, Pustul, Hyperost, Osteomyelitis",Acne,60684003
Myu6F00,"[X]Acne, unspecified",Acne,11381005
Myu6800,[X]Other acne,Acne,11381005
M261400,Iodine acne,Acne,201217006
M26y200,Giant comedo,Acne,403357002
M261z00,Other acne NOS,Acne,11381005
BBe5.11,[M]Acoustic neuroma,Acoustic Neuroma,126949007
B7F1000,Acoustic neuroma,Acoustic Neuroma,126949007
F375.00,Alcoholic polyneuropathy,Alcohol-related Brain Injury,7916009
F25B.00,Alcohol-induced epilepsy,Alcohol-related Brain Injury,361268000
1B1c.00,Alcohol induced hallucinations,Alcohol-related Brain Injury,417633001
F11x000,Cerebral degeneration due to alcoholism,Alcohol-related Brain Injury,192811002
Eu10411,"[X]Delirium tremens, alcohol induced",Alcohol-related Brain Injury,8635005
E015.00,Alcoholic paranoia,Alcohol-related Brain Injury,191478006
Eu10712,[X]Chronic alcoholic brain syndrome,Alcohol-related Brain Injury,191475009
E013.00,Alcohol withdrawal hallucinosis,Alcohol-related Brain Injury,191476005
E012000,Chronic alcoholic brain syndrome,Alcohol-related Brain Injury,191475009
E012.11,Alcoholic dementia NOS,Alcohol-related Brain Injury,281004
E012.00,Other alcoholic dementia,Alcohol-related Brain Injury,281004
F144000,Cerebellar ataxia due to alcoholism,Alcohol-related Brain Injury,361272001
ZV6D600,[V]Alcohol abuse counselling and surveillance,Alcohol Problem,24165007
9NN2.00,Under care of community alcohol team,Alcohol Problem,135827004
C150500,Alcohol-induced pseudo-Cushing's syndrome,Alcohol Problem,237738005
C251.11,Wernicke's encephalopathy,Alcohol Problem,21007002
C253.00,Wernicke's encephalopathy,Alcohol Problem,21007002
E01..00,Alcoholic psychoses,Alcohol Problem,42344001
E010.00,Alcohol withdrawal delirium,Alcohol Problem,8635005
E010.11,DTs - delirium tremens,Alcohol Problem,8635005
E010.12,Delirium tremens,Alcohol Problem,8635005
E011.00,Alcohol amnestic syndrome,Alcohol Problem,69482004
E011000,Korsakov's alcoholic psychosis,Alcohol Problem,69482004
E011100,Korsakov's alcoholic psychosis with peripheral neuritis,Alcohol Problem,191471000
E011200,Wernicke-Korsakov syndrome,Alcohol Problem,69482004
E011z00,Alcohol amnestic syndrome NOS,Alcohol Problem,73097000
E01y.00,Other alcoholic psychosis,Alcohol Problem,42344001
E01y000,Alcohol withdrawal syndrome,Alcohol Problem,191480000
E01yz00,Other alcoholic psychosis NOS,Alcohol Problem,42344001
E01z.00,Alcoholic psychosis NOS,Alcohol Problem,42344001
E23..00,Alcohol dependence syndrome,Alcohol Problem,66590003
E23..11,Alcoholism,Alcohol Problem,66590003
E23..12,Alcohol problem drinking,Alcohol Problem,7200002
E230.00,Acute alcoholic intoxication in alcoholism,Alcohol Problem,191802004
E230.11,Alcohol dependence with acute alcoholic intoxication,Alcohol Problem,191802004
E230000,"Acute alcoholic intoxication, unspecified, in alcoholism",Alcohol Problem,191802004
E230100,Continuous acute alcoholic intoxication in alcoholism,Alcohol Problem,191804003
E230200,Episodic acute alcoholic intoxication in alcoholism,Alcohol Problem,191805002
E230300,"Acute alcoholic intoxication in remission, in alcoholism",Alcohol Problem,191806001
E230z00,Acute alcoholic intoxication in alcoholism NOS,Alcohol Problem,191802004
E231.00,Chronic alcoholism,Alcohol Problem,66590003
E231.11,Dipsomania,Alcohol Problem,7200002
E231000,Unspecified chronic alcoholism,Alcohol Problem,66590003
E231100,Continuous chronic alcoholism,Alcohol Problem,191811004
E231200,Episodic chronic alcoholism,Alcohol Problem,191812006
E231300,Chronic alcoholism in remission,Alcohol Problem,191813001
E23z.00,Alcohol dependence syndrome NOS,Alcohol Problem,66590003
Eu10.00,[X]Mental and behavioural disorders due to use of alcohol,Alcohol Problem,29212009
Eu10100,[X]Mental and behav dis due to use of alcohol: harmful use,Alcohol Problem,15167005
Eu10211,[X]Alcohol addiction,Alcohol Problem,66590003
Eu10213,[X]Dipsomania,Alcohol Problem,66590003
Eu10400,[X]Men & behav dis due alcohl: withdrawl state with delirium,Alcohol Problem,8635005
Eu10611,"[X]Korsakov's psychosis, alcohol induced",Alcohol Problem,69482004
Eu10800,[X]Alcohol withdrawal-induced seizure,Alcohol Problem,308742005
F11x011,Alcoholic encephalopathy,Alcohol Problem,192811002
G555.00,Alcoholic cardiomyopathy,Alcohol Problem,83521008
G852300,Oesophageal varices in alcoholic cirrhosis of the liver,Alcohol Problem,309783001
J153.00,Alcoholic gastritis,Alcohol Problem,2043009
J610.00,Alcoholic fatty liver,Alcohol Problem,50325005
J611.00,Acute alcoholic hepatitis,Alcohol Problem,9953008
J612000,Alcoholic fibrosis and sclerosis of liver,Alcohol Problem,235880004
J613.00,Alcoholic liver damage unspecified,Alcohol Problem,41309000
J613000,Alcoholic hepatic failure,Alcohol Problem,235881000
J617.00,Alcoholic hepatitis,Alcohol Problem,235875008
J617000,Chronic alcoholic hepatitis,Alcohol Problem,307757001
J670800,Alcohol-induced acute pancreatitis,Alcohol Problem,235942001
J671000,Alcohol-induced chronic pancreatitis,Alcohol Problem,235952002
ZV11300,[V]Personal history of alcoholism,Alcohol Problem,463651000000105
ZV11311,[V]Problems related to lifestyle alcohol use,Alcohol Problem,463651000000105
ZV57A00,[V]Alcohol rehabilitation,Alcohol Problem,471691000000107
E231z00,Chronic alcoholism NOS,Alcohol Problem,66590003
136S.00,Hazardous alcohol use,Alcohol Problem,198421000000108
136W.00,Alcohol misuse,Alcohol Problem,15167005
13Y8.00,Alcoholics anonymous,Alcohol Problem,161109002
66e..00,Alcohol disorder monitoring,Alcohol Problem,413130000
7P22100,Delivery of rehabilitation for alcohol addiction,Alcohol Problem,231161000000109
8BA8.00,Alcohol detoxification,Alcohol Problem,64297001
8CAv.00,Advised to contact primary care alcohol worker,Alcohol Problem,375941000000101
8G32.00,Aversion therapy - alcoholism,Alcohol Problem,183388004
8H35.00,Admitted to alcohol detoxification centre,Alcohol Problem,183486001
8H7p.00,Referral to community alcohol team,Alcohol Problem,390857005
8HkG.00,Referral to specialist alcohol treatment service,Alcohol Problem,431260004
9k1..00,Alcohol misuse - enhanced services administration,Alcohol Problem,166251000000100
9k12.00,Alcohol misuse - enhanced service completed,Alcohol Problem,166471000000105
J612.12,Laennec's cirrhosis,Alcoholic Liver Disease,419728003
14B1.00,H/O: hay fever,Allergic And Chronic rhinitis,161524000
H120.00,Chronic rhinitis,Allergic And Chronic rhinitis,86094006
H120000,Chronic simple rhinitis,Allergic And Chronic rhinitis,195765002
H120100,Chronic catarrhal rhinitis,Allergic And Chronic rhinitis,266342009
H120200,Chronic hypertrophic rhinitis,Allergic And Chronic rhinitis,195768000
H120300,Chronic atrophic rhinitis,Allergic And Chronic rhinitis,195769008
H120400,Chronic infective rhinitis,Allergic And Chronic rhinitis,195770009
H120500,Chronic ulcerative rhinitis,Allergic And Chronic rhinitis,195771008
H120600,Chronic membranous rhinitis,Allergic And Chronic rhinitis,195772001
H120700,Chronic fibrinous rhinitis,Allergic And Chronic rhinitis,195773006
H120z00,Chronic rhinitis NOS,Allergic And Chronic rhinitis,86094006
H13..11,Chronic rhinosinusitis,Allergic And Chronic rhinitis,40055000
H17..00,Allergic rhinitis,Allergic And Chronic rhinitis,61582004
H17..11,Perennial rhinitis,Allergic And Chronic rhinitis,446096008
H17..12,Allergic rhinosinusitis,Allergic And Chronic rhinitis,61582004
H170.00,Allergic rhinitis due to pollens,Allergic And Chronic rhinitis,21719001
H170.11,Hay fever - pollens,Allergic And Chronic rhinitis,21719001
H170.12,Pollinosis,Allergic And Chronic rhinitis,21719001
H171.00,Allergic rhinitis due to other allergens,Allergic And Chronic rhinitis,61582004
H171.11,Cat allergy,Allergic And Chronic rhinitis,232346004
H171.12,Dander (animal) allergy,Allergic And Chronic rhinitis,232347008
H171.13,Feather allergy,Allergic And Chronic rhinitis,232348003
H171.15,House dust allergy,Allergic And Chronic rhinitis,232349006
H171.16,House dust mite allergy,Allergic And Chronic rhinitis,232350006
H171000,Allergy to animal,Allergic And Chronic rhinitis,717234006
H171100,Dog allergy,Allergic And Chronic rhinitis,419271008
H172.00,Allergic rhinitis due to unspecified allergen,Allergic And Chronic rhinitis,61582004
H172.11,Hay fever - unspecified allergen,Allergic And Chronic rhinitis,21719001
H17z.00,Allergic rhinitis NOS,Allergic And Chronic rhinitis,61582004
H18..00,Vasomotor rhinitis,Allergic And Chronic rhinitis,8229003
H330011,Hay fever with asthma,Allergic And Chronic rhinitis,233683003
Hyu2000,[X]Other seasonal allergic rhinitis,Allergic And Chronic rhinitis,367498001
Hyu2100,[X]Other allergic rhinitis,Allergic And Chronic rhinitis,61582004
H171.14,Hay fever - other allergen,Allergic And Chronic rhinitis,21719001
M240111,Ophiasis,Alopecia Areata,5860009
M240B00,Alopecia totalis,Alopecia Areata,19754005
M240K00,Alopecia universalis,Alopecia Areata,86166000
M240U00,Ophiasis,Alopecia Areata,5860009
Myu6200,[X]Other alopecia areata,Alopecia Areata,68225006
M240100,Alopecia areata,Alopecia Areata,68225006
D200.00,Constitutional aplastic anaemia,Anaemia Aplastic,28975000
D200.13,Blackfan - Diamond syndrome,Anaemia Aplastic,5315003
D200.15,Hypoplastic anaemia - familial,Anaemia Aplastic,28975000
D200000,Congenital hypoplastic anaemia,Anaemia Aplastic,28975000
D200100,Fanconi's familial refractory anaemia,Anaemia Aplastic,30575002
D200111,Fanconi's hypoplastic anaemia,Anaemia Aplastic,30575002
D200211,Pancytopenia-dysmelia,Anaemia Aplastic,275523003
D200300,Constitutional red cell aplasia and hypoplasia,Anaemia Aplastic,267525005
D200312,Congenital pure red cell aplasia,Anaemia Aplastic,234371002
D200313,Constitutional red cell hypoplasia,Anaemia Aplastic,234373004
D200314,Congenital red cell hypoplasia,Anaemia Aplastic,234372009
D200400,Erythrogenesis imperfecta,Anaemia Aplastic,191240007
D200y00,Other specified constitutional aplastic anaemia,Anaemia Aplastic,267525005
D201.00,Acquired aplastic anaemia,Anaemia Aplastic,55907008
D201.11,Normocytic anaemia due to aplasia,Anaemia Aplastic,234343008
D201000,Aplastic anaemia due to chronic disease,Anaemia Aplastic,191244003
D201z12,Red cell hypoplasia,Anaemia Aplastic,50715003
D201z00,Acquired aplastic anaemia NOS,Anaemia Aplastic,55907008
D201800,[X]Pure red cell aplasia,Anaemia Aplastic,50715003
D201700,Transient hypoplastic anaemia,Anaemia Aplastic,191251007
D20..00,Aplastic anaemia,Anaemia Aplastic,306058006
D201612,Pancytopenia with pancreatitis,Anaemia Aplastic,234367000
D201611,Pancytopenia with malformation,Anaemia Aplastic,127034005
D201600,Pancytopenia NOS,Anaemia Aplastic,127034005
D201500,Pancytopenia - acquired,Anaemia Aplastic,5876000
D201400,Aplastic anaemia due to toxic cause,Anaemia Aplastic,191248000
D203.00,Transient acquired pure red cell aplasia,Anaemia Aplastic,191255003
D201311,Radiation aplastic anaemia,Anaemia Aplastic,191247005
D201200,Aplastic anaemia due to infection,Anaemia Aplastic,191246001
D201111,Hypoplastic anaemia due to drug or chemical substance,Anaemia Aplastic,267527002
D201100,Aplastic anaemia due to drugs,Anaemia Aplastic,267527002
D200200,Constitutional aplastic anaemia with malformation,Anaemia Aplastic,267524009
D201z13,Secondary red cell hypoplasia NEC,Anaemia Aplastic,50715003
D20z.00,Aplastic anaemia NOS,Anaemia Aplastic,306058006
D20X.00,"Acquired pure red cell aplasia, unspecified",Anaemia Aplastic,234370001
D204.00,Idiopathic aplastic anaemia,Anaemia Aplastic,191256002
D203000,Transient erythroblastopenia of childhood,Anaemia Aplastic,234375006
D202.00,Chronic acquired pure red cell aplasia,Anaemia Aplastic,90414007
D201z14,Secondary red cell aplasia NEC,Anaemia Aplastic,50715003
Dyu0300,[X]Other folate deficiency anaemias,Anaemia Folate Deficiency,85649008
D012.11,Folic acid deficiency anaemia,Anaemia Folate Deficiency,85649008
D012.00,Folate-deficiency anaemia,Anaemia Folate Deficiency,85649008
C262000,Folic acid deficiency,Anaemia Folate Deficiency,190633005
D013000,Combined B12 and folate deficiency anaemia,Anaemia Folate Deficiency,191154007
D012111,Goat's milk anaemia,Anaemia Folate Deficiency,15332004
D110000,Primary cold-type haemolytic anaemia,Anaemia Haemolytic,191210005
D110100,Primary warm-type haemolytic anaemia,Anaemia Haemolytic,191211009
D110200,Secondary cold-type haemolytic anaemia,Anaemia Haemolytic,191212002
D110400,Drug-induced autoimmune haemolytic anaemia,Anaemia Haemolytic,309742004
D110z00,Autoimmune haemolytic anaemia NOS,Anaemia Haemolytic,413603009
D111.00,Non-autoimmune haemolytic anaemia,Anaemia Haemolytic,191216004
D111000,Mechanical haemolytic anaemia,Anaemia Haemolytic,191217008
