Deficit,SNOMEDCT_CONCEPTID,CTV3,Provenance,Codedescription,TimeConstraintyears,AgeLimit,Otherinstructions
Abdominal pain,274288004,XE1jA,efi-abdominal_pain,O/E pain: [abdom (& on palpat)][epigast][iliac][lumb][umbil],5,,
Abdominal pain,274290003,XE1jA,efi-abdominal_pain,O/E pain: [abdom (& on palpat)][epigast][iliac][lumb][umbil],5,,
Abdominal pain,274292006,XE1jE,efi-abdominal_pain,O/E - left iliac: [abdominal pain] or [tender],5,,
Abdominal pain,274277005,XE2cT,efi-abdominal_pain,Right iliac fossa pain (& C/O),5,,
Abdominal pain,274278000,XE2cV,efi-abdominal_pain,Left iliac fossa pain (& C/O),5,,
Abdominal pain,271858001,XM093,efi-abdominal_pain,Recurrent acute abdominal pain,5,,
Abdominal pain,285387005,Xa35t,efi-abdominal_pain,Left sided abdominal pain,5,,
Abdominal pain,285388000,Xa35u,efi-abdominal_pain,Right sided abdominal pain,5,,
Abdominal pain,301367001,Xa7wu,efi-abdominal_pain,Right hypochondrial pain,5,,
Abdominal pain,301368006,Xa7wv,efi-abdominal_pain,Left hypochondrial pain,5,,
Abdominal pain,301715003,Xa83q,efi-abdominal_pain,Left upper quadrant pain,5,,
Abdominal pain,301716002,Xa83r,efi-abdominal_pain,Left lower quadrant pain,5,,
Abdominal pain,301717006,Xa83s,efi-abdominal_pain,Right upper quadrant pain,5,,
Abdominal pain,301754002,Xa84T,efi-abdominal_pain,Right lower quadrant pain,5,,
Abdominal pain,102570003,Xa84t,efi-abdominal_pain,Inguinal pain,5,,
Abdominal pain,304542004,XaA06,efi-abdominal_pain,Nonspecific abdominal pain,5,,
Abdominal pain,314212008,XaEiJ,efi-abdominal_pain,Abdominal pain - cause unknown,5,,
Activity limitation,160983005,13O5.,efi-activity,Attendance allowance,,,
Activity limitation,161041005,13V8.,efi-activity,Has disabled driver badge,,,
Activity limitation,21134002,13VC.,efi-activity,Disability,,,
Activity limitation,514591000000108,9EB5.,efi-activity,DS 1500 Disability living allowance completed,,,
Activity limitation,300757004,Xa7hb,,Unable to engage in a hobby,,,
Activity limitation,300760006,Xa7he,,Difficulty engaging in a hobby,,,
Activity limitation,273302005,,, Barthel index (assessment scale),,,Equal to or less than 18
Activity limitation,300751003,Xa7hV,,Unable to carry out garden act,,,
Activity limitation,300754006,Xa7hY,,Diff carrying out garden acts,,,
Activity limitation,285869003,Xa3Jy,,Unable to use washing machine,,,
Activity limitation,285872005,Xa3K1,,Diff using washing machine,,,
Activity limitation,286049003,Xa3Mq,,Unable to wash laundry,,,
Activity limitation,286052006,Xa3Mt,,Difficulty washing laundry,,,
Activity limitation,286090000,Xa3NU,,Difficulty doing washing-up,,,
Activity limitation,286093003,Xa3NX,,Unab dispose household rubbish,,,
Activity limitation,286097002,Xa3Na,,Diff dispos household rubbish,,,
Activity limitation,286100007,Xa3Nd,,Unable to clean room,,,
Activity limitation,286103009,Xa3Ng,,Difficulty cleaning room,,,
Activity limitation,286106001,Xa3Nj,,Unable to do polishing,,,
Activity limitation,286109008,Xa3Nm,,Difficulty doing polishing,,,
Activity limitation,286112006,Xa3Np,,Unable to do dusting,,,
Activity limitation,286115008,Xa3Ns,,Difficulty doing dusting,,,
Activity limitation,286118005,Xa3Nv,,Unable to clean floor,,,
Activity limitation,286121007,Xa3Ny,,Difficulty cleaning floor,,,
Activity limitation,286124004,Xa3O1,,Unable to clean windows,,,
Activity limitation,286127006,Xa3O4,,Difficulty cleaning windows,,,
Activity limitation,286130004,Xa3O7,,Unab clean food prepara area,,,
Activity limitation,286133002,Xa3OA,,Diff cleaning food prepar area,,,
Activity limitation,286142009,Xa3OJ,,Unable to clean cooker,,,
Activity limitation,286145006,Xa3OM,,Difficulty cleaning cooker,,,
Activity limitation,286149000,Xa3OQ,,Unable to clean bath,,,
Activity limitation,286152008,Xa3OT,,Difficulty cleaning bath,,,
Activity limitation,286155005,Xa3OW,,Unable to clean shower,,,
Activity limitation,286158007,Xa3OZ,,Difficulty cleaning shower,,,
Activity limitation,286161008,Xa3Oc,,Unable to clean sink,,,
Activity limitation,286164000,Xa3Of,,Difficulty cleaning sink,,,
Activity limitation,286167007,Xa3Oi,,Unable to clean toilet,,,
Activity limitation,286170006,Xa3Ol,,Difficulty cleaning toilet,,,
Activity limitation,424533000,XaX8j,,Difficulty perform laundry act,,,
Activity limitation,300726004,Xa7h7,,Unab carry out telephone activ,,,
Activity limitation,300729006,Xa7hA,,Diff carrying telephone activ,,,
Activity limitation,300733004,Xa7hD,,Unable to use telephone,,,
Activity limitation,300736007,Xa7hG,,Difficulty using telephone,,,
Activity limitation,300622009,Xa7fT,,Unable to use public transport,,,
Activity limitation,300625006,Xa7fW,,Diff using public transport,,,
Activity limitation,300632002,Xa7fc,,Diff using private transport,,,
Activity limitation,300635000,Xa7ff,,Unable to drive a car,,,
Activity limitation,300638003,Xa7fi,,Difficulty driving a car,,,
Activity limitation,300662008,Xa7g6,,Diff perf act invol usng trans,,,
Alcohol,105542008,,ucl-alcohol,Teetotaller,5,,Zero alcohol
Alcohol,28127009,,ucl-alcohol,Social drinker,5,,Lower risk drinking
Alcohol,228277002,,ucl-alcohol,Light drinker,5,,Lower risk drinking
Alcohol,228276006,,ucl-alcohol,Trivial drinker - <1u/day,5,,Lower risk drinking
Alcohol,266917007,,ucl-alcohol,Trivial drinker - <1u/day,5,,Lower risk drinking
Alcohol,160575005,,ucl-alcohol,Light drinker - 1-2u/day,5,,Lower risk drinking
Alcohol,160593006,,ucl-alcohol,Alcohol intake within recommended sensible limits,5,,Lower risk drinking
Alcohol,160576006,,ucl-alcohol,Moderate drinker - 3-6u/day,5,,Higher risk drinking
Alcohol,43783005,,ucl-alcohol,Moderate drinker,5,,Higher risk drinking
Alcohol,160577002,,ucl-alcohol,Heavy drinker - 7-9u/day,5,,Harmful drinking
Alcohol,160578007,,ucl-alcohol,Very heavy drinker - >9u/day,5,,Harmful drinking
Alcohol,86933000,,ucl-alcohol,Heavy drinker,5,,Harmful drinking
Alcohol,228279004,,ucl-alcohol,Very heavy drinker,5,,Harmful drinking
Alcohol,228315001,,ucl-alcohol,Binge drinker,5,,Harmful drinking
Alcohol,15167005,,ucl-alcohol,Alcohol misuse,5,,Harmful drinking
Alcohol,720175009,,ucl-alcohol,Alcohol harm reduction programme,5,,Harmful drinking
Alcohol,720178006,,ucl-alcohol,Alcohol twelve step programme,5,,Harmful drinking
Alcohol,375941000000101,,ucl-alcohol,Advised to contact primary care alcohol worker,5,,Harmful drinking
Alcohol,946101000000100,,ucl-alcohol,Specialist alcohol treatment service signposted,5,,Harmful drinking
Alcohol,431260004,,ucl-alcohol,Referral to specialist alcohol treatment service,5,,Harmful drinking
Alcohol,376401000000103,,ucl-alcohol,Referral to alcohol brief intervention service,5,,Harmful drinking
Alcohol,379411000000105,,ucl-alcohol,Brief intervention for excessive alcohol consumptn declined,5,,Harmful drinking
Alcohol,380861000000109,,ucl-alcohol,Declined referral to specialist alcohol treatment service,5,,Harmful drinking
Alcohol,754831000000102,,ucl-alcohol,Extended interven for excessive alcohol consumption declined,5,,Harmful drinking
Alcohol,781191000000101,,ucl-alcohol,Referral to community alcohol team declined,5,,Harmful drinking
Alcohol,933641000000103,,ucl-alcohol,Refer to MH services deferred until alcohol misuse resolved,5,,Harmful drinking
Alcohol,921441000000103,,ucl-alcohol,Hospital alcohol liaison team report received,5,,Harmful drinking
Alcohol,892631000000102,,ucl-alcohol,In-house alcohol detoxification,5,,Harmful drinking
Alcohol,963281000000104,,ucl-alcohol,Hospital attendance related to personal alcohol consumption,5,,Harmful drinking
Alcohol,235942001,,ucl-alcohol,Alcohol-induced acute pancreatitis,5,,Harmful drinking
Alcohol,160592001,,ucl-alcohol,Alcohol intake above recommended sensible limits,5,,Harmful drinking
Alcohol,198421000000108,,ucl-alcohol,Hazardous alcohol use,5,,Harmful drinking
Alcohol,198431000000105,,ucl-alcohol,Harmful alcohol use,5,,Harmful drinking
Alcohol,279651000000104,,ucl-alcohol,Disqualified from driving due to excess alcohol,5,,Harmful drinking
Alcohol,417633001,,ucl-alcohol,Alcohol induced hallucinations,5,,Harmful drinking
Alcohol,413130000,,ucl-alcohol,Alcohol disorder monitoring,5,,Harmful drinking
Alcohol,247721000000109,,ucl-alcohol,Alcohol abuse monitoring,5,,Harmful drinking
Alcohol,231161000000109,,ucl-alcohol,Delivery of rehabilitation for alcohol addiction,5,,Harmful drinking
Alcohol,64297001,,ucl-alcohol,Alcohol detoxification,5,,Harmful drinking
Alcohol,183098002,,ucl-alcohol,Alcohol leaflet given,5,,Harmful drinking
Alcohol,183388004,,ucl-alcohol,Aversion therapy - alcoholism,5,,Harmful drinking
Alcohol,183486001,,ucl-alcohol,Admitted to alcohol detoxification centre,5,,Harmful drinking
Alcohol,390857005,,ucl-alcohol,Referral to community alcohol team,5,,Harmful drinking
Alcohol,417096006,,ucl-alcohol,Referral to community drug and alcohol team,5,,Harmful drinking
Alcohol,135827004,,ucl-alcohol,Under care of community alcohol team,5,,Harmful drinking
Alcohol,166251000000100,,ucl-alcohol,Alcohol misuse - enhanced services administration,5,,Harmful drinking
Alcohol,166471000000105,,ucl-alcohol,Alcohol misuse - enhanced service completed,5,,Harmful drinking
Alcohol,237738005,,ucl-alcohol,Alcohol-induced pseudo-Cushing's syndrome,5,,Harmful drinking
Alcohol,42344001,,ucl-alcohol,Alcoholic psychoses,5,,Harmful drinking
Alcohol,8635005,,ucl-alcohol,Alcohol withdrawal delirium,5,,Harmful drinking
Alcohol,69482004,,ucl-alcohol,Alcohol amnestic syndrome,5,,Harmful drinking
Alcohol,191471000,,ucl-alcohol,Korsakov's alcoholic psychosis with peripheral neuritis,5,,Harmful drinking
Alcohol,73097000,,ucl-alcohol,Alcohol amnestic syndrome NOS,5,,Harmful drinking
Alcohol,281004,,ucl-alcohol,Other alcoholic dementia,5,,Harmful drinking
Alcohol,191475009,,ucl-alcohol,Chronic alcoholic brain syndrome,5,,Harmful drinking
Alcohol,191476005,,ucl-alcohol,Alcohol withdrawal hallucinosis,5,,Harmful drinking
Alcohol,191477001,,ucl-alcohol,Pathological alcohol intoxication,5,,Harmful drinking
Alcohol,191478006,,ucl-alcohol,Alcoholic paranoia,5,,Harmful drinking
Alcohol,191480000,,ucl-alcohol,Alcohol withdrawal syndrome,5,,Harmful drinking
Alcohol,7200002,,ucl-alcohol,Alcohol dependence syndrome,5,,Harmful drinking
Alcohol,66590003,,ucl-alcohol,Alcohol dependence syndrome,5,,Harmful drinking
Alcohol,191802004,,ucl-alcohol,Acute alcoholic intoxication in alcoholism,5,,Harmful drinking
Alcohol,191804003,,ucl-alcohol,Continuous acute alcoholic intoxication in alcoholism,5,,Harmful drinking
Alcohol,191805002,,ucl-alcohol,Episodic acute alcoholic intoxication in alcoholism,5,,Harmful drinking
Alcohol,191811004,,ucl-alcohol,Continuous chronic alcoholism,5,,Harmful drinking
Alcohol,191812006,,ucl-alcohol,Episodic chronic alcoholism,5,,Harmful drinking
Alcohol,32553006,,ucl-alcohol,Nondependent alcohol abuse,5,,Harmful drinking
Alcohol,25702006,,ucl-alcohol,Nondependent alcohol abuse,5,,Harmful drinking
Alcohol,268645007,,ucl-alcohol,Nondependent alcohol abuse,5,,Harmful drinking
Alcohol,191882002,,ucl-alcohol,"Nondependent alcohol abuse, continuous",5,,Harmful drinking
Alcohol,191883007,,ucl-alcohol,"Nondependent alcohol abuse, episodic",5,,Harmful drinking
Alcohol,91388009,,ucl-alcohol,[X]Mental and behav dis due to use of alcohol: harmful use,5,,Harmful drinking
Alcohol,7052005,,ucl-alcohol,[X]Mental & behav dis due to use alcohol: psychotic disorder,5,,Harmful drinking
Alcohol,308742005,,ucl-alcohol,[X]Alcohol withdrawal-induced seizure,5,,Harmful drinking
Alcohol,29212009,,ucl-alcohol,[X]Men & behav dis due to use alcohol: oth men & behav dis,5,,Harmful drinking
Alcohol,192811002,,ucl-alcohol,Cerebral degeneration due to alcoholism,5,,Harmful drinking
Alcohol,361273006,,ucl-alcohol,Cerebellar ataxia due to alcoholism,5,,Harmful drinking
Alcohol,361272001,,ucl-alcohol,Cerebellar ataxia due to alcoholism,5,,Harmful drinking
Alcohol,361268000,,ucl-alcohol,Alcohol-induced epilepsy,5,,Harmful drinking
Alcohol,7916009,,ucl-alcohol,Alcoholic polyneuropathy,5,,Harmful drinking
Alcohol,19303008,,ucl-alcohol,Alcoholic myopathy,5,,Harmful drinking
Alcohol,83521008,,ucl-alcohol,Alcoholic cardiomyopathy,5,,Harmful drinking
Alcohol,309783001,,ucl-alcohol,Oesophageal varices in alcoholic cirrhosis of the liver,5,,Harmful drinking
Alcohol,2043009,,ucl-alcohol,Alcoholic gastritis,5,,Harmful drinking
Alcohol,50325005,,ucl-alcohol,Alcoholic fatty liver,5,,Harmful drinking
Alcohol,9953008,,ucl-alcohol,Acute alcoholic hepatitis,5,,Harmful drinking
Alcohol,420054005,,ucl-alcohol,Alcoholic cirrhosis of liver,5,,Harmful drinking
Alcohol,419728003,,ucl-alcohol,Alcoholic cirrhosis of liver,5,,Harmful drinking
Alcohol,76301009,,ucl-alcohol,Alcoholic cirrhosis of liver,5,,Harmful drinking
Alcohol,235880004,,ucl-alcohol,Alcoholic fibrosis and sclerosis of liver,5,,Harmful drinking
Alcohol,41309000,,ucl-alcohol,Alcoholic liver damage unspecified,5,,Harmful drinking
Alcohol,235881000,,ucl-alcohol,Alcoholic hepatic failure,5,,Harmful drinking
Alcohol,235875008,,ucl-alcohol,Alcoholic hepatitis,5,,Harmful drinking
Alcohol,307757001,,ucl-alcohol,Chronic alcoholic hepatitis,5,,Harmful drinking
Alcohol,235952002,,ucl-alcohol,Alcohol-induced chronic pancreatitis,5,,Harmful drinking
Alcohol,463651000000105,,ucl-alcohol,[V]Problems related to lifestyle alcohol use,5,,Harmful drinking
Alcohol,371422002,,ucl-alcohol,[V]Problems related to lifestyle alcohol use,5,,Harmful drinking
Alcohol,471691000000107,,ucl-alcohol,[V]Alcohol rehabilitation,5,,Harmful drinking
Alcohol,35637008,,ucl-alcohol,[V]Alcohol rehabilitation,5,,Harmful drinking
Alcohol,24165007,,ucl-alcohol,[V]Alcohol abuse counselling and surveillance,5,,Harmful drinking
Alcohol,704106009,,ucl-alcohol,Advised to abstain from alcohol consumption,5,,Harmful drinking
Alcohol,413473000,,ucl-alcohol,Alcohol consumption counselling,5,,Harmful drinking
Alcohol,527961000000108,,ucl-alcohol,Alcohol counselling by other agencies,5,,Harmful drinking
Alcohol,7200002,E23..00,mar-alcohol,Alcohol dependence syndrome,5,,Harmful drinking
Alcohol,66590003,E23..00,mar-alcohol,Alcohol dependence syndrome,5,,Harmful drinking
Alcohol,191802004,E230.11,mar-alcohol,Alcohol dependence with acute alcoholic intoxication,5,,Harmful drinking
Alcohol,32553006,E250.00,mar-alcohol,Nondependent alcohol abuse,5,,Harmful drinking
Alcohol,25702006,E250.00,mar-alcohol,Nondependent alcohol abuse,5,,Harmful drinking
Alcohol,268645007,E250.00,mar-alcohol,Nondependent alcohol abuse,5,,Harmful drinking
Alcohol,191882002,E250100,mar-alcohol,"Nondependent alcohol abuse, continuous",5,,Harmful drinking
Alcohol,191883007,E250200,mar-alcohol,"Nondependent alcohol abuse, episodic",5,,Harmful drinking
Alcohol,91388009,Eu10211,mar-alcohol,[X]Alcohol addiction,5,,Harmful drinking
Alcohol,366371000000105,,ucl-alcohol,Brief intervention for excessive alcohol consumptn completed,5,,Harmful drinking
Alcohol,366421000000103,,ucl-alcohol,Extended intervention for excessive alcohol consumptn complt,5,,Harmful drinking
Alcohol,160584005,,ucl-alcohol,Ex-moderate drinker - (3-6u/d),5,,Previous higher risk/harmful drinking
Alcohol,160585006,,ucl-alcohol,Ex-heavy drinker - (7-9u/day),5,,Previous higher risk/harmful drinking
Alcohol,160587003,,ucl-alcohol,Ex-very heavy drinker-(>9u/d),5,,Previous higher risk/harmful drinking
Alcohol,191813001,,ucl-alcohol,Chronic alcoholism in remission,5,,Previous higher risk/harmful drinking
Alcohol,191884001,,ucl-alcohol,Nondependent alcohol abuse in remission,5,,Previous higher risk/harmful drinking
Alcohol,161466001,,ucl-alcohol,H/O: alcoholism,5,,Previous higher risk/harmful drinking
Alcohol,918321000000104,,ucl-alcohol,Alcohol dependence resolved,5,,Previous higher risk/harmful drinking
Alcohol,968891000000109,,ucl-alcohol,Alcohol relapse prevention,5,,Previous higher risk/harmful drinking
Alcohol,161109002,,ucl-alcohol,Alcoholics anonymous,5,,Previous higher risk/harmful drinking
Alcohol,191806001,,ucl-alcohol,"Acute alcoholic intoxication in remission, in alcoholism",5,,Previous higher risk/harmful drinking
Alcohol,10826410000001000,,,Alcohol units consumed per week (observable entity),5,,Alcohol - numeric (0 = code as zero alcohol; 1-20 = code as lower risk drinking; 21-48 = code as higher risk drinking; 49+ = code as harmful drinking)
Alcohol,10826310000001000,,,Alcohol units consumed per day (observable entity),5,,Alcohol - numeric (0 = code as zero alcohol; 1-20 = code as lower risk drinking; 21-48 = code as higher risk drinking; 49+ = code as harmful drinking). Multiply by 7 to get weekly units.
Alcohol,228957004,,ucl-alcohol,Alcohol units per day,5,,Alcohol - numeric (0 = code as zero alcohol; 1-20 = code as lower risk drinking; 21-48 = code as higher risk drinking; 49+ = code as harmful drinking). Multiply by 7 to get weekly units.
Alcohol,228958009,,ucl-alcohol,Alcohol units per week,5,,Alcohol - numeric (0 = code as zero alcohol; 1-20 = code as lower risk drinking; 21-48 = code as higher risk drinking; 49+ = code as harmful drinking)
Anaemia & haematinic deficiency,266992002,145..,,H/O: blood disorder (& [anaemia]),5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,275538002,145..,,H/O: blood disorder (& [anaemia]),5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,161456009,1451,,H/O: anaemia - iron deficient,5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,161457000,1452,,H/O: Anaemia vit.B12 deficient,5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,161458005,1453,,H/O: haemolytic anaemia,5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,165626000,42R41,,Ferritin level low,5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,165645009,42T2.,,Serum vitamin B12 low,5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,170823005,66E5.,,B12 injections - at surgery,5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,189509003,B9370,,"Refractory anaemia without sideroblasts, so stated",,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,109998009,B9371,,Refractory anaemia with sideroblasts,,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,398623004,B9372,,Refractory anaemia with excess of blasts,,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,110000005,B9373,,Refractory anaemia with excess of blasts with transformation,,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,128846006,BBmA.,,[M] Refractory anaemia with sideroblasts,,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,128848007,BBmB.,,[M]Refractory anaemia+excess of blasts with transformation,,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,109996008,ByuHC,,"[X]Refractory anaemia, unspecified",,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,190633005,C2620,,Folic acid deficiency,5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,190634004,C2621,,Cobalamin deficiency,5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,87522002,D0...,,Deficiency anaemiasm (& [asiderotic] or [sideropenic]),5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,267513007,D0...,,Deficiency anaemiasm (& [asiderotic] or [sideropenic]),5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,44666001,D00..,,Iron deficiency anaemias (& [hypochromic - microcytic]),5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,413533008,D000.,,Anaemia due chron blood loss: [iron defic] or [normocytic],5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,234352004,D000.,,Anaemia due chron blood loss: [iron defic] or [normocytic],5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,191128004,D001.,,Iron deficiency anaemia due to dietary causes,5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,80126007,D00y.,,(Kelly-Paterson's)/(Plumm-Vinson's)/(oth sp iron def anaem),5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,80875006,D00z0,,Achlorhydric anaemia,5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,191136008,D00z2,,Idiopathic hypochromic anaemia,5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,53165003,D01..,,Anaemia: [megaloblastic] or [other deficiency],5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,84027009,D010.,,Pernicious anaemia (& [Biermers][congen def intrins factor]),5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,234361004,D010.,,Pernicious anaemia (& [Biermers][congen def intrins factor]),5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,234362006,D010.,,Pernicious anaemia (& [Biermers][congen def intrins factor]),5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
Anaemia & haematinic deficiency,49472006,D011.,,Vitamin B12 deficiency anaemia (& pleural),5,,Anaemia deficit (i.e. all codes) resolve if there is a normal lab Hb following initial diagnosis
